"SUBSTANCE_GROUP","SUBSTANCE","SUBSTANCE_CAS"
"AZO DYES","BISBENZIMIDAZO[2,1-B:2',1'-I]BENZO[LMN][3,8]PHENANTHROLINE-8,17-DIONE","4424-06-0"
"AZO DYES","BRILLIANT CROCEINE","5413-75-2"
"AZO DYES","C,C'-azodi(formamide)","123-77-3"
"AZO DYES","C. I. PIGMENT RED 146","5280-68-2"
"AZO DYES","C.I. ACID BLACK 52","5610-64-0"
"AZO DYES","C.I. DISPERSE BLUE 291:1","51868-46-3"
"AZO DYES","C.I. PIGMENT RED 247","43035-18-3"
"AZO DYES","C.I.PIGMENT RED 48.4","5280-66-0"
"AZO DYES","DIARYLIDE YELLOW","78952-72-4"
"AZO DYES","DIPHENYL FAST BROWN BRL","16071-86-6"
"AZO DYES","DIPHENYLDIAZENE","103-33-3"
"AZO DYES","O-AMINOANISOLE","90-04-0"
"AZO DYES","REACTIVE BROWN 11","12225-68-2"
"AZO DYES","TRIHYDROGEN BIS[3-[(4,5-DIHYDRO-3-METHYL-5-OXO-1-PHENYL-1H-PYRAZOL-4-YL)AZO]-2-HYDROXY-5-NITROBENZENESULPHONATO(3-)]CHROMATE(3-)","13463-42-8"
"AZO DYES","biphenyl-4-ylamine","92-67-1"
"BANNED SUBSTANCES (VARIOUS)","2-BENZOTRIAZOL-2-YL-4,6-DI-TERT-BUTYLPHENOL","3846-71-7"
"BANNED SUBSTANCES (VARIOUS)","Dimethylfumerate","624-49-7"
"BANNED SUBSTANCES (VARIOUS)","SULPHUR-HEXAFLUORIDE","2551-62-4"
"BARIUM AND BARIUM COMPOUNDS","Ba","7440-39-3"
"BARIUM AND BARIUM COMPOUNDS","BaO","1304-28-5"
"BERYLLIUM AND BERYLLIUM COMPOUNDS","BERYLLIUM PHOSPHATE ","13598-15-7"
"BERYLLIUM AND BERYLLIUM COMPOUNDS","Beryl ore","1302-52-9"
"BERYLLIUM AND BERYLLIUM COMPOUNDS","Beryllium chloride","7787-47-5"
"BERYLLIUM AND BERYLLIUM COMPOUNDS","Beryllium fluoride","7787-49-7"
"BERYLLIUM AND BERYLLIUM COMPOUNDS","Beryllium oxide","1304-56-9"
"BERYLLIUM AND BERYLLIUM COMPOUNDS","Beryllium sulfate tetrahydrate","7787-56-6"
