"SUBSTANCE_GROUP","SUBSTANCE","SUBSTANCE_CAS"
"HYDROFLUOROCARBONS (HFCS)","1,1-DIFLUOROETHANE","75-37-6"
"HYDROFLUOROCARBONS (HFCS)","CARBON TRIFLUORIDE","75-46-7"
"HYDROFLUOROCARBONS (HFCS)","DIFLUOROMETHANE","75-10-5"
"HYDROFLUOROCARBONS (HFCS)","HFC 245FA","460-73-1"
"HYDROFLUOROCARBONS (HFCS)","HFC 365MFC","406-58-6"
"HYDROFLUOROCARBONS (HFCS)","HFC-134, 1,1,2,2 - TETRAFLUOROETHANE","359-35-3"
"HYDROFLUOROCARBONS (HFCS)","HFC-236CB, 1,1,1,2,2,3-HEXAFLUOROPROPANE","677-56-5"
"HYDROFLUOROCARBONS (HFCS)","HFC-236FA, 1,1,1,3,3,3-HEXAFLUOROPROPANE","690-39-1"
"HYDROFLUOROCARBONS (HFCS)","HFC-245CA, 1,1,2,2,3-PENTAFLUOROPROPANE","679-86-7"
"HYDROFLUOROCARBONS (HFCS)","HFC-41, FLUOROMETHANE","593-53-3"
"HYDROFLUOROCARBONS (HFCS)","SULPHUR-HEXAFLUORIDE","2551-62-4"
"Hexabromocyclododecanes (HBCDDs)","1,2,5,6,9,10-HEXABROMOCYCLODODECANE","3194-55-6"
"Hexabromocyclododecanes (HBCDDs)","Hexabromocyclododecane","25637-99-4"
"Hexabromocyclododecanes (HBCDDs)","alpha-Hexabromocyclododecane","134237-50-6"
"Hexabromocyclododecanes (HBCDDs)","beta-Hexabromocyclododecane","134237-51-7"
"Hexabromocyclododecanes (HBCDDs)","gamma-Hexabromocyclododecane","134237-52-8"
"Hexafluorides (F6)","Iridium hexafluoride","7783-75-7"
"Hexafluorides (F6)","Molybdenum hexafluoride","7783-77-9"
"Hexafluorides (F6)","Neptunium hexafluoride","14521-05-2"
"Hexafluorides (F6)","Osmium hexafluoride","13768-38-2"
"Hexafluorides (F6)","Platinum hexafluoride","13693-05-5"
"Hexafluorides (F6)","Plutonium hexafluoride","13693-06-6"
"Hexafluorides (F6)","Polonium hexafluoride","35473-38-2"
"Hexafluorides (F6)","Rhenium hexafluoride","10049-17-9"
"Hexafluorides (F6)","Rhodium hexafluoride","13693-07-7"
"Hexafluorides (F6)","Ruthenium hexafluoride","13693-08-8"
"Hexafluorides (F6)","SELENIUM HEXAFLUORIDE","7783-79-1"
"Hexafluorides (F6)","SULPHUR-HEXAFLUORIDE","2551-62-4"
"Hexafluorides (F6)","TELLURIUM-HEXAFLUORIDE","7783-80-4"
"Hexafluorides (F6)","Technetium hexafluoride","13842-93-8"
"Hexafluorides (F6)","Tungsten hexafluoride","7783-82-6"
"Hexafluorides (F6)","Uranium hexafluoride","7783-81-5"
"Hexafluorides (F6)","Xenon hexafluoride","13693-09-9"
"LEAD AND LEAD COMPOUNDS","(MALEATO)TRIOXOTETRALEAD","12275-07-9"
"LEAD AND LEAD COMPOUNDS","1,2-BENZENEDICARBOXYLIC ACID, LEAD SALT","16183-12-3"
"LEAD AND LEAD COMPOUNDS","1,2-BENZENEDICARBOXYLIC ACID, LEAD(2+) SALT (1:1)","6838-85-3"
"LEAD AND LEAD COMPOUNDS","2-BUTENEDIOIC ACID (E)-, LEAD(2+) SALT, BASIC","90268-59-0"
"LEAD AND LEAD COMPOUNDS","ACETIC ACID, LEAD(+2) SALT TRIHYDRATE","6080-56-4"
"LEAD AND LEAD COMPOUNDS","BASIC LEAD CARBONATE","1319-46-6"
"LEAD AND LEAD COMPOUNDS","BORIC ACID (HBO2), LEAD(2+) SALT, MONOHYDRATE (8CI, 9CI)","10214-39-8"
"LEAD AND LEAD COMPOUNDS","CYCLO-DI-MU-OXO(MU-PHTHALATO)TRILEAD","17976-43-1"
"LEAD AND LEAD COMPOUNDS","CYCLOHEXANECARBOXYLIC ACID, LEAD SALT","61790-14-5"
"LEAD AND LEAD COMPOUNDS","DIBASIC LEAD METAPHOSPHATE","1344-40-7"
"LEAD AND LEAD COMPOUNDS","DILEAD-DIRUTHENIUM-HEXAOXIDE","37194-88-0"
"LEAD AND LEAD COMPOUNDS","DIOXOBIS(STEARATO)TRILEAD","12578-12-0"
"LEAD AND LEAD COMPOUNDS","FATTY ACIDS, C6-19-BRANCHED, LEAD SALTS, BASIC","68603-83-8"
"LEAD AND LEAD COMPOUNDS","GALENA","1314-87-0"
"LEAD AND LEAD COMPOUNDS","HAL-LUB-N","7428-48-0"
"LEAD AND LEAD COMPOUNDS","LEAD (II) MOLYBDATE","10190-55-3"
"LEAD AND LEAD COMPOUNDS","LEAD 2,4,6-TRINITRO-M-PHENYLENE DIOXIDE","15245-44-0"
"LEAD AND LEAD COMPOUNDS","LEAD ACETATE, BASIC","1335-32-6"
"LEAD AND LEAD COMPOUNDS","LEAD BROWN","1309-60-0"
"LEAD AND LEAD COMPOUNDS","LEAD CAPRYLATE","15696-43-2"
"LEAD AND LEAD COMPOUNDS","LEAD DI(ACETATE)","301-04-2"
"LEAD AND LEAD COMPOUNDS","LEAD FLUORIDE (PBF2)","7783-46-2"
"LEAD AND LEAD COMPOUNDS","LEAD HEXAFLUOROSILICATE (1:1)","25808-74-6"
"LEAD AND LEAD COMPOUNDS","LEAD NITRATE","10099-74-8"
"LEAD AND LEAD COMPOUNDS","LEAD OXIDE SULFATE (PB2O(SO4))","12036-76-9"
"LEAD AND LEAD COMPOUNDS","LEAD OXIDE SULFATE (PB5-O4-(SO4))","12065-90-6"
"LEAD AND LEAD COMPOUNDS","LEAD SELENIDE (PBSE)","12069-00-0"
"LEAD AND LEAD COMPOUNDS","LEAD SULFATE, TRIBASIC","12202-17-4"
"LEAD AND LEAD COMPOUNDS","LEAD TETRAETHYL","78-00-2"
"LEAD AND LEAD COMPOUNDS","LEAD TETRAMETHYL","75-74-1"
"LEAD AND LEAD COMPOUNDS","LEAD TETROXIDE","1314-41-6"
"LEAD AND LEAD COMPOUNDS","LEAD TITANIUM ZIRCONIUM OXIDE","12626-81-2"
"LEAD AND LEAD COMPOUNDS","LEAD ZIRCONIUM OXIDE (PBZRO3)","12060-01-4"
"LEAD AND LEAD COMPOUNDS","LEAD(2+) CYANAMIDE","20837-86-9"
"LEAD AND LEAD COMPOUNDS","LEAD(2+) OCTADECANOATE","1072-35-1"
"LEAD AND LEAD COMPOUNDS","LEAD(II) METHANESULFONATE","17570-76-2"
"LEAD AND LEAD COMPOUNDS","LEAD(II)-ARSENATE","10102-48-4"
"LEAD AND LEAD COMPOUNDS","LEAD, [1,2-BENZENEDICARBOXYLATO(2-)]DIOXOTRI","69011-06-9"
"LEAD AND LEAD COMPOUNDS","LEAD-DIAZIDE","13424-46-9"
"LEAD AND LEAD COMPOUNDS","LEAD-DIPICRATE","6477-64-1"
"LEAD AND LEAD COMPOUNDS","LEAD-PHOSPHITE","16038-76-9"
"LEAD AND LEAD COMPOUNDS","LEAD-SILICATE","15906-71-5"
"LEAD AND LEAD COMPOUNDS","LEAD-SULPHATE","7446-14-2"
"LEAD AND LEAD COMPOUNDS","LEAD-TETRAACETATE","546-67-8"
"LEAD AND LEAD COMPOUNDS","LEAD-THIOSULPHATE","13478-50-7"
"LEAD AND LEAD COMPOUNDS","Lead","7439-92-1"
"LEAD AND LEAD COMPOUNDS","Lead oxide yellow","1317-36-8"
"LEAD AND LEAD COMPOUNDS","Lead titanium oxide (PbTiO3)","12060-00-3"
"LEAD AND LEAD COMPOUNDS","NAPHTHENIC ACID, COBALT LEAD MANGANESE SALT","61789-50-2"
"LEAD AND LEAD COMPOUNDS","PHOSPHORIC ACID, LEAD(2+) SALT (2:3)","7446-27-7"
"LEAD AND LEAD COMPOUNDS","PHTHALATO(2-))OXODILEAD","57142-78-6"
"LEAD AND LEAD COMPOUNDS","PLUMBOUS CARBONATE","598-63-0"
"LEAD AND LEAD COMPOUNDS","SILICIC ACID (H2SIO3),LEAD SALT (8CI,9CI)","22569-74-0"
"LEAD AND LEAD COMPOUNDS","SILICIC ACID (H4SIO4),LEAD(2+) SALT (1:2)","13566-17-1"
"LEAD AND LEAD COMPOUNDS","SILICICACID (H2SIO3), LEAD(2+) SALT (1:1)","10099-76-0"
"LEAD AND LEAD COMPOUNDS","SOPRABEL","3687-31-8"
"LEAD AND LEAD COMPOUNDS","SULFURIC ACID, LEAD SALT","15739-80-7"
"LEAD AND LEAD COMPOUNDS","THIOCYANIC ACID, LEAD(2+) SALT","592-87-0"
"LEAD AND LEAD COMPOUNDS","TRILEAD BIS(CARBONATE) DIHYDROXIDE","1344-36-1"
"LEAD AND LEAD COMPOUNDS","TRILEAD-DIOXIDE-PHOSPHONATE","12141-20-7"
"LEAD AND LEAD COMPOUNDS","lead bisilicate","65997-18-4"
"LEAD AND LEAD COMPOUNDS","lead silicate","11120-22-2"
"MERCURY AND MERCURY COMPOUNDS","(NEODECANOATO-O)PHENYLMERCURY","26545-49-3"
"MERCURY AND MERCURY COMPOUNDS","1-CYANO-3-(METHYLMERCURIO)GUANIDINE","502-39-6"
"MERCURY AND MERCURY COMPOUNDS","2-METHOXYETHYLMERCURY CHLORIDE","123-88-6"
"MERCURY AND MERCURY COMPOUNDS","CHLOROMETHYLMERCURY","115-09-3"
"MERCURY AND MERCURY COMPOUNDS","DIETHYLMERCURY","627-44-1"
"MERCURY AND MERCURY COMPOUNDS","DIMERCURY-DICHLORIDE","10112-91-1"
"MERCURY AND MERCURY COMPOUNDS","DIMERCURY-DICYANIDE-OXIDE","1335-31-5"
"MERCURY AND MERCURY COMPOUNDS","DIMETHYLMERCURY","593-74-8"
"MERCURY AND MERCURY COMPOUNDS","DIPOTASSIUM-TETRACYANOMERCURATE","591-89-9"
"MERCURY AND MERCURY COMPOUNDS","DIPOTASSIUM-TETRAIODOMERCURATE","7783-33-7"
"MERCURY AND MERCURY COMPOUNDS","HG","7439-97-6"
"MERCURY AND MERCURY COMPOUNDS","MERCURIC ACETATE","1600-27-7"
"MERCURY AND MERCURY COMPOUNDS","MERCURIC ARSENATE","7784-37-4"
"MERCURY AND MERCURY COMPOUNDS","MERCURIC BENZOATE","583-15-3"
"MERCURY AND MERCURY COMPOUNDS","MERCURIC BROMIDE","7789-47-1"
"MERCURY AND MERCURY COMPOUNDS","MERCURIC CHLORIDE, AMMONIATED","10124-48-8"
"MERCURY AND MERCURY COMPOUNDS","MERCURIC CYANIDE","592-04-1"
"MERCURY AND MERCURY COMPOUNDS","MERCURIC FLUORIDE","7783-39-3"
"MERCURY AND MERCURY COMPOUNDS","MERCURIC FULMINATE","628-86-4"
"MERCURY AND MERCURY COMPOUNDS","MERCURIC IODATE","7783-32-6"
"MERCURY AND MERCURY COMPOUNDS","MERCURIC IODIDE, RED","7774-29-0"
"MERCURY AND MERCURY COMPOUNDS","MERCURIC OLEATE","1191-80-6"
"MERCURY AND MERCURY COMPOUNDS","MERCURIC OXIDE, RED","21908-53-2"
"MERCURY AND MERCURY COMPOUNDS","MERCURIC SALICILATE","5970-32-1"
"MERCURY AND MERCURY COMPOUNDS","MERCURIC SODIM P-PHENOLSULFONATE","535-55-7"
"MERCURY AND MERCURY COMPOUNDS","MERCURIC STEARATE","645-99-8"
"MERCURY AND MERCURY COMPOUNDS","MERCURIC SUBSULFATE","1312-03-4"
"MERCURY AND MERCURY COMPOUNDS","MERCURIC SUCCINIMIDE","584-43-0"
"MERCURY AND MERCURY COMPOUNDS","MERCURIC SULFIDE, BLACK","1344-48-5"
"MERCURY AND MERCURY COMPOUNDS","MERCURIC THIOCYANATE","592-85-8"
"MERCURY AND MERCURY COMPOUNDS","MERCUROUS ACETATE","631-60-7"
"MERCURY AND MERCURY COMPOUNDS","MERCUROUS BROMIDE","10031-18-2"
"MERCURY AND MERCURY COMPOUNDS","MERCUROUS CHLORATE","10294-44-7"
"MERCURY AND MERCURY COMPOUNDS","MERCUROUS FLUORIDE","13967-25-4"
"MERCURY AND MERCURY COMPOUNDS","MERCUROUS IODIDE","15385-57-6"
"MERCURY AND MERCURY COMPOUNDS","MERCUROUS NITRATE","10415-75-5"
"MERCURY AND MERCURY COMPOUNDS","MERCUROUS OXIDE","15829-53-5"
"MERCURY AND MERCURY COMPOUNDS","MERCUROUS SULFATE","7783-36-0"
"MERCURY AND MERCURY COMPOUNDS","MERCURY, (2-MERCAPTOACETAMIDATO-O,S)METHYL","7548-26-7"
"MERCURY AND MERCURY COMPOUNDS","MERCURY, CHLORO(CYCLOHEXYLMETHYL)-","33631-63-9"
"MERCURY AND MERCURY COMPOUNDS","MERCURY, HYDROXY(NITRATO)DIPHENYLDI","8003-05-2"
"MERCURY AND MERCURY COMPOUNDS","MERCURY-DICHLORIDE","7487-94-7"
"MERCURY AND MERCURY COMPOUNDS","METHYLMERCURY","22967-92-6"
"MERCURY AND MERCURY COMPOUNDS","MURCUROUS CHLORIDE","7546-30-7"
"MERCURY AND MERCURY COMPOUNDS","Mercuric chloride","7484-37-4"
"MERCURY AND MERCURY COMPOUNDS","Mercuric nitrate","10045-94-0"
"MERCURY AND MERCURY COMPOUNDS","Mercuric sulfate","7783-35-9"
"MERCURY AND MERCURY COMPOUNDS","PERCHLOROMETHYLMERCAPTAN","594-42-3"
"MERCURY AND MERCURY COMPOUNDS","PHENYLMERCURY-ACETATE","62-38-4"
"MERCURY_CADMIUM","CADMIUM-MERCURY-SULFIDE","1345-09-1"
"Metals and Metal Compounds","ALUMINUMHYDROXIDE (AL(OH)3)","1333-84-2"
"Metals and Metal Compounds","Aluminum nitride","24304-00-5"
"Metals and Metal Compounds","BARIUM CALCIUM EUROPIUM STRONTIUM SILICATE (BA1.3CA0.2EU0.1SR0.4(SIO4))","374783-70-7"
"Metals and Metal Compounds","BARIUM STRONTIUM NIOBATE","37185-09-4"
"Metals and Metal Compounds","BISMUTH MONOXIDE","1332-64-5"
"Metals and Metal Compounds","BISMUTH TITANIUM OXIDE","12048-51-0"
"Metals and Metal Compounds","BRONZE","12597-70-5"
"Metals and Metal Compounds","Calcium Peroxide","1305-79-9"
"Metals and Metal Compounds","Copper ions","15158-11-9"
"Metals and Metal Compounds","Copper iron zinc oxide","54427-17-7"
"Metals and Metal Compounds","CuFe2O4","12018-79-0"
"Metals and Metal Compounds","Gallium arsenide","1303-00-0"
"Metals and Metal Compounds","INDIUM (III) OXIDE","1312-42-2"
"Metals and Metal Compounds","IRON ALLOY,BASE,FE,CO,NI (SUPER-INVAR","12605-25-3"
"Metals and Metal Compounds","Iron_DNU","7439-89-06"
"Metals and Metal Compounds","Lithium Tantalate","12031-86-2"
"Metals and Metal Compounds","MANGANESE(II) CHLORIDE, ANHYDROUS","7773-01-5"
"Metals and Metal Compounds","Magnesium (Mg)","7739-95-4"
"Metals and Metal Compounds","Niobium","7440-03-1"
"Metals and Metal Compounds","PHOSPHORUS RED","7723-14-0"
"Metals and Metal Compounds","PLATINUM","7440-06-4"
"Metals and Metal Compounds","POTASSIUM","7440-09-7"
"Metals and Metal Compounds","POTASSIUM DICYANOAURATE(I)","554-07-4"
"Metals and Metal Compounds","Palladium","7440-05-3"
"Metals and Metal Compounds","Phosphour bronze","12767-50-9"
"Metals and Metal Compounds","Potassium Bromide","7758-02-3"
"Metals and Metal Compounds","SAMARIUM OXIDE (SM2O3)","12060-58-1"
"Metals and Metal Compounds","SODIUM PROPYNESULFONATE","55947-46-1"
"Metals and Metal Compounds","Sodium saccharin","128-44-9"
"Metals and Metal Compounds","Steel","12597-69-2"
"Metals and Metal Compounds","TETRATERBIUM HEPTAOXIDE","12037-01-3"
"Metals and Metal Compounds","TITANIUM, BIS(ETHYL 3-(OXO-KAPPAO)BUTANOATO-KAPPAO')BIS(2-PROPANOLATO)-","27858-32-8"
"Metals and Metal Compounds","stainless steel","12597-68-1"
"NICKEL AND NICKEL COMPOUNDS","ACETIC ACID, NICKEL(2+) SALT","373-02-4"
"NICKEL AND NICKEL COMPOUNDS","NICKEL HYDROXIDE","11113-74-9"
"NICKEL AND NICKEL COMPOUNDS","NICKEL SULFIDE","12035-72-2"
"NICKEL AND NICKEL COMPOUNDS","NICKEL, ION (NI3+)","22541-64-6"
"NICKEL AND NICKEL COMPOUNDS","NICKEL-CARBONATE","3333-67-3"
"NICKEL AND NICKEL COMPOUNDS","NICKEL-DIHYDROXIDE","12054-48-7"
"NICKEL AND NICKEL COMPOUNDS","NICKEL-DIOXIDE","12035-36-8"
"NICKEL AND NICKEL COMPOUNDS","NICKEL-SULPHIDE","16812-54-7"
"NICKEL AND NICKEL COMPOUNDS","NICKELOCENE","1271-28-9"
"NICKEL AND NICKEL COMPOUNDS","Ni","7440-02-0"
"NICKEL AND NICKEL COMPOUNDS","Nickel","7440-02-2"
"NICKEL AND NICKEL COMPOUNDS","Nickel Chromium","11106-97-1"
"NICKEL AND NICKEL COMPOUNDS","Nickel Sulfate","10101-98-1"
"NICKEL AND NICKEL COMPOUNDS","Nickel monoxide","1313-99-1"
"NICKEL AND NICKEL COMPOUNDS","TETRACARBONYLNICKEL","13463-39-3"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","BIS(TRIBUTYLSTANNIUM) OXIDE","56-35-9"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","BUTYNORATE","77-58-7"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","Bis (tributyltin) fumarate","6454-35-9"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","Bis (tributyltin) phthalate","4782-29-0"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","Bis(tributyltin) 2,3-dibromosuccinate","31732-71-5"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","Bis(tributyltin) maleate","14275-57-1"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","COPOLYMER OF ALKYL (C=8) ACRYLATE,METHYL METHACRYLATE AND TRIBUTYLTIN METHACRYLATE","67772-01-4"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","DBOT","818-08-6"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","DI-N-BUTYLTIN","1002-53-5"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","DI-N-OCTYLTIN OXIDE","870-08-6"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","DIBUTYLSTANNIUM DICHLORIDE","683-18-1"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","DIBUTYLTIN BIS(2-ETHYLHEXANOATE)","2781-10-4"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","DIBUTYLTIN-HYDROGEN-BORATE","75113-37-0"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","DIOCTYL TIN (DOT)","15231-44-4"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","Dibutyltin diacetate","1067-33-0"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","Dibutyltin maleate","78-04-6"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","STANNANE, TRIBUTYL","688-73-3"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","TRIBUTYLTIN CYCLOPENTANE CARBONATE MIXTURE","5409-17-2"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","TRIBUTYLTIN-1, 2,3,4,4A, 4B, 5,6,10,10A-DECAHYDRO-7-ISOPLOPYL-1, 4A-DIMETHYL-1-PHENANTHRENCARBOXYLATEMIX","26239-64-5"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","TRIBUTYLTINCHLORIDE","7432-38-3"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","TRIPHENYL TIN (TPT)","668-34-8"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","Tributyltin acetate","56-36-0"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","Tributyltin chloride","1461-22-9"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","Tributyltin cyclopentane carbonate=mixture","85409-17-2"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","Tributyltin fluoride","1983-10-4"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","Tributyltin laurate","3090-36-6"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","Tributyltin methacrylate","2155-70-6"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","Tributyltin sulfamate","6517-25-5"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","Triphenyltin acetate","900-95-8"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","Triphenyltin chloride","639-58-7"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","Triphenyltin chloroacetate","7094-94-2"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","Triphenyltin fatty acid salts (C=9-11)","47672-31-1"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","Triphenyltin fattyacid((9-11)salt)","94850-90-5"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","Triphenyltin fluoride","379-52-2"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","Triphenyltin hydroxide","76-87-9"
"ORGANIC TIN COMPOUNDS (ORGANOSTANNIC)","Triphenyltin-N, N-dimethyldithiocarbamate","1803-12-9"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","(2-(METHYL-(1,1,2,2,3,3,4,4,5,5,5-UNDECAFLUOROPENTYLSULFONYL)AMINO)ETHYL PROP-2-ENOATE )","68555-90-8"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","1-DECANESULFONIC ACID, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-HENEICOSAFLUORO-, AMMONIUM SALT","67906-42-7"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","1-DECANESULFONYL FLUORIDE, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-HENEICOSAFLUORO-","307-51-7"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","1-HEPTANESULFONIC ACID, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-PENTADECAFLUORO-, LITHIUM SALT","117806-54-9"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","1-HEXANESULFONIC ACID, 1,1,2,2,3,3,4,4,5,5,6,6,6-TRIDECAFLUORO-, LITHIUM SALT","55120-77-9"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","1-HEXANESULFONYL FLUORIDE, 1,1,2,2,3,3,4,4,5,5,6,6,6-TRIDECAFLUORO-","423-50-7"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","1-NONANESULFONIC ACID, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-NONADECAFLUORO-, AMMONIUM SALT","17202-41-4"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","1-OCTANESULFONAMIDE, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-HEPTADECAFLUORO-","754-91-6"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","1-OCTANESULFONAMIDE, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-HEPTADECAFLUORO-N-(2-HYDROXYETHYL)-N-METHYL-","24448-09-7"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","1-OCTANESULFONAMIDE, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-HEPTADECAFLUORO-N-METHYL-","31506-32-8"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","1-OCTANESULFONAMIDE, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-HEPTADECAFLUORO-N-METHYL-, REACTION PRODUCTS WITH BENZENE-CHLORINE-SULFUR CHLORIDE (S2CL2) REACTION PRODUCTS CHLORIDES","182700-90-9"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","1-OCTANESULFONAMIDE, N,N',N""-[PHOSPHINYLIDYNETRIS(OXY-2,1-ETHANEDIYL)]TRIS[N-ETHYL-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-HEPTADECAFLUORO-","2250-98-8"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","1-OCTANESULFONAMIDE, N,N'-[PHOSPHINICOBIS(OXY-2,1-ETHANEDIYL)]BIS[N-ETHYL-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-HEPTADECAFLUORO-, AMMONIUM SALT","30381-98-7"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","1-OCTANESULFONAMIDE, N-ETHYL-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-HEPTADECAFLUORO-","4151-50-2"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","1-OCTANESULFONAMIDE, N-ETHYL-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-HEPTADECAFLUORO-N-(2-HYDROXYETHYL)-","1691-99-2"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","1-OCTANESULFONAMIDE, N-ETHYL-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-HEPTADECAFLUORO-N-(2-HYDROXYETHYL)-, REACTION PRODUCTS WITH N-ETHYL-1,1,2,2,3,3,4,4,4-NONAFLUORO-N-(2-HYDROXYETHYL)-1-BUTANESULFONAMIDE,","68649-26-3"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","1-OCTANESULFONAMIDE, N-ETHYL-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-HEPTADECAFLUORO-N-[2-(PHOSPHONOOXY)ETHYL]-, DIAMMONIUM SALT","67969-69-1"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","1-OCTANESULFONAMIDE, N-ETHYL-1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-HEPTADECAFLUORO-N-[3-(TRIMETHOXYSILYL)PROPYL]-","61660-12-6"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","1-OCTANESULFONYL FLUORIDE, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-HEPTADECAFLUORO-","307-35-7"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","1-PROPANAMINIUM, 3-[[(HEPTADECAFLUOROOCTYL)SULFONYL]AMINO]-N,N,N-TRIMETHYL-, CHLORIDE","38006-74-5"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","1-PROPANAMINIUM, 3-[[(HEPTADECAFLUOROOCTYL)SULFONYL]AMINO]-N,N,N-TRIMETHYL-, IODIDE","1652-63-7"
"PERFLUORO ALKYL SULFONATES (PFAS), AND DERIVATIVES (INCLUDING PFOS)","1-PROPANAMINIUM, N-(2-HYDROXYETHYL)-3-[(2-HYDROXY-3-SULFOPROPYL) [(TRIDECAFLUOROHEXYL)SULFONYL]AMINO]-N,N-DIMETHYL-, HYDROXIDE, MONOSODIUM SALT","81190-38-7"
